annotation	node1	node2	node3	relevant_node	expected	taxonomy	type	organism	tax_id
"None"	Satellites	Satellite Nucleic Acids	Single stranded DNA satellites				from_vog	Mimosa yellow leaf curl virus-associated DNA 1	447598
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Mimosa yellow leaf curl virus satellite DNA beta	447600
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Alphacoronavirus	13		from_vog	Miniopterus bat coronavirus HKU8	694001
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	Miniopterus africanus polyomavirus 1				from_vog	Miniopterus africanus polyomavirus 1	1891769
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Mink bocavirus	1891972
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Caliciviridae	Vesivirus	8		from_vog	Mink calicivirus	154122
"None"	ssDNA viruses	Circoviridae	Circovirus				from_vog	Mink circovirus	1475143
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Closteroviridae	Closteroviridae	2		from_vog	Mint virus 1	300740
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Mint virus X	301865
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tymovirales				from_vog	Mirabilis jalapa mottle virus	1093773
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Mirabilis leaf curl virus	1431395
"None"	Satellites	Tolecusatellitidae	Betasatellite				from_vog	Mirabilis leaf curl India virus associated betasatellite	1507403
"None"	Retro-transcribing viruses	Caulimoviridae	Caulimovirus				from_vog	Mirabilis mosaic virus	194445
"None"	ssDNA viruses	Geminiviridae	Mastrevirus				from_vog	Miscanthus streak virus - [91]	268776
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	Mobala mammarenavirus	55097
"None"	dsRNA viruses	Reoviridae	Sedoreovirinae				from_vog	Mobuck virus	1408137
"None"	dsDNA viruses, no RNA stage	Baculoviridae	Betabaculovirus				from_vog	Mocis latipes granulovirus	2072024
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_vog	Modoc virus	64300
"None"	unclassified viruses	Mollivirus sibericum	Mollivirus sibericum				from_vog	Mollivirus sibericum	1678078
"None"	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae				from_vog	Molluscum contagiosum virus subtype 1	10280
"Not annotated"	Retro-transcribing viruses	Retroviridae	Orthoretrovirinae	Gammaretrovirus	9		from_vog	Moloney murine sarcoma virus	11809
"None"	dsDNA viruses, no RNA stage	Polyomaviridae	Molossus molossus polyomavirus 1				from_vog	Molossus molossus polyomavirus 1	1606504
"None"	Genomoviridae	Gemycircularvirus	unclassified Gemycircularvirus				from_vog	Mongoose feces-associated gemycircularvirus a	1634485
"None"	Genomoviridae	Gemycircularvirus	unclassified Gemycircularvirus				from_vog	Mongoose feces-associated gemycircularvirus c	1634488
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Arteriviridae	11		from_vog	DeBrazza's monkey arterivirus	1965063
"None"	dsDNA viruses, no RNA stage	Poxviridae	Chordopoxvirinae				from_vog	Monkeypox virus Zaire-96-I-16	619591
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Flaviviridae	Flaviviridae	10		from_vog	Montana myotis leukoencephalitis virus	64312
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	Mopeia Lassa virus reassortant 29	300180
"None"	ssRNA viruses	ssRNA negative-strand viruses	Arenaviridae				from_vog	Mopeia virus AN20410	300175
"None"	dsDNA viruses, no RNA stage	Caudovirales	Podoviridae				from_vog	Morganella phage MmP1	526118
"None"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Tombusviridae				from_vog	Moroccan pepper virus	208086
"Annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Potyviridae	Potyviridae	10		from_vog	Moroccan watermelon mosaic virus	167129
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	Mosavirus A2	1481453
"None"	ssDNA viruses	Circoviridae	unclassified Circoviridae				from_vog	Mosquito circovirus	1611039
"None"	ssDNA viruses	Parvoviridae	Densovirinae				from_vog	Mosquito densovirus BR/07	945962
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Mossman virus	241630
"None"	dsDNA viruses, no RNA stage	Mimiviridae	unclassified Mimiviridae				from_vog	Acanthamoeba polyphaga moumouvirus	1269028
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Astroviridae	Astroviridae	7		from_vog	Mouse astrovirus M-52/USA/2008	1074210
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Picornavirales	Picornaviridae	11		from_vog	Mouse kobuvirus M-5/USA/2010	1074213
"Annotated"	Retro-transcribing viruses	Retroviridae	Orthoretrovirinae	Retroviridae	8		from_vog	Mouse mammary tumor virus	11757
"None"	ssRNA viruses	ssRNA negative-strand viruses	Mononegavirales				from_vog	Moussa virus	698672
"None"	ssDNA viruses	Parvoviridae	Parvovirinae				from_vog	Mpulungu bufavirus	1580058
"Not annotated"	Retro-transcribing viruses	Caulimoviridae	Badnavirus	Badnavirus	9		from_vog	Mulberry badnavirus 1	1227557
"None"	ssDNA viruses	Geminiviridae	unclassified Geminiviridae				from_vog	Mulberry mosaic dwarf associated virus	1631303
"None"	unclassified viroids	Mulberry small circular viroid-like RNA 1	Mulberry small circular viroid-like RNA 1				from_vog	Mulberry small circular viroid-like RNA 1	529840
"None"	ssRNA viruses	ssRNA negative-strand viruses	Bunyavirales				from_vog	Mulberry vein banding virus	1266451
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Mungbean yellow mosaic India virus	223287
"None"	ssDNA viruses	Geminiviridae	Begomovirus				from_vog	Mungbean yellow mosaic virus	33726
"Not annotated"	ssRNA viruses	ssRNA positive-strand viruses, no DNA stage	Nidovirales	Coronaviridae	2		from_vog	Munia coronavirus HKU13-3514	572289
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Mupapillomavirus				from_vog	Mupapillomavirus 1	334203
"None"	dsDNA viruses, no RNA stage	Papillomaviridae	Mupapillomavirus				from_vog	Human papillomavirus type 63	28311
